NO,GBN,FAC_NAME,OPER_NAME,X,Y
"1",육상,"고양종합운동장(주,보조)",고양도시관리공사,"126.742594","37.675787"
"2",육상,어울림 별무리 운동장,고양도시관리공사,"126.834639","37.649847"
"3",축구장,"고양종합운동장 축구장(주,보조)",고양도시관리공사,"126.742594","37.675787"
"4",축구장,백석공원 축구장,고양도시관리공사,"126.794876","37.645546"
"5",축구장,중산중앙 근린공원축구장,고양도시관리공사,"126.778620","37.691654"
"6",축구장,대화레포츠공원축구장,고양도시관리공사,"126.737255","37.670424"
"7",축구장,충장축구장,고양도시관리공사,"126.828889","37.608262"
"8",축구장,어울림(별무리)축구장,고양도시관리공사,"126.834639","37.649847"
"9",축구장,지영동축구장,고양도시관리공사,"126.834784","37.723911"
"10",축구장,한강둔치 축구장,체육정책과,"126.859389","37.577106"
"11",축구장,고양동축구장,체육정책과,"126.896235","37.693769"
"12",축구장,강선공원축구장,체육정책과,"126.763101","37.672995"
"13",축구장,성저공원축구장,체육정책과,"126.755366","37.681428"
"14",축구장,정발산공원축구장,체육정책과,"126.779835","37.662429"
"15",축구장,강촌공원축구장,체육정책과,"126.781715","37.653511"
"16",축구장,대자조절지유소년축구장,고양시축구협회,"126.891778","37.691565"
"17",수영장,어울림누리(꽃우물 수영장),고양도시관리공사,"126.834639","37.649847"
"18",수영장,고양체육관,고양도시관리공사,"126.742594","37.675787"
"19",빙상장,어울림누리(얼음마루),고양도시관리공사,"126.834639","37.649847"
"20",풋살구장,대자조절지풋살경기장,고양시축구협회,"126.891778","37.691565"
"21",풋살구장,선유동풋살장,고양도시관리공사,"126.910753","37.674911"
"22",풋살구장,효자동풋살장,고양도시관리공사,"126.937969","37.653516"
"23",풋살구장,행주IC풋살장,고양도시관리공사,"126.821666","37.605208"
"24",풋살구장,오금동 풋살장,체육정책과,"126.901290","37.671678"
"25",풋살구장,현천동체육시설(풋살장),고양도시관리공사,"126.867146","37.594147"
"26",배드민턴장,대화배드민턴장,배드민턴협회,"126.737255","37.670424"
"27",배드민턴장,백석배드민턴장,배드민턴협회,"126.794876","37.645546"
"28",배드민턴장,성라1배드민턴장,배드민턴협회,"126.847479","37.649027"
"29",배드민턴장,성라2배드민턴장,배드민턴협회,"126.847479","37.649027"
"30",배드민턴장,정발산배드민턴장,배드민턴협회,"126.779835","37.662429"
"31",배드민턴장,성사다목적체육관,배드민턴협회,"126.843466","37.662296"
"32",배드민턴장,중산배드민턴장,배드민턴협회,"126.778620","37.691654"
"33",배드민턴장,가좌배드민턴장,배드민턴협회,"126.717406","37.686959"
"34",배드민턴장,마상배드민턴장,고양도시관리공사,"126.832979","37.661769"
"35",배드민턴장,행신배드민턴장,배드민턴협회,"126.828355","37.614113"
"36",배드민턴장,고양배드민턴장,배드민턴협회,"126.901144","37.704582"
"37",배드민턴장,식골배드민턴장,배드민턴협회,"126.791884","37.670086"
"38",배드민턴장,덕이배드민턴장,배드민턴협회,"126.749564","37.696783"
"39",배드민턴장,탄현배드민턴장,배드민턴협회,"126.769948","37.700421"
"40",배드민턴장,식사배드민턴장,배드민턴협회,"126.811666","37.685586"
"41",배드민턴장,능곡배드민턴장,배드민턴협회,"126.828543","37.625261"
"42",배드민턴장,삼송배드민턴장,배드민턴협회,"126.879210","37.641422"
"43",배드민턴장,신원배드민턴장,배드민턴협회,"126.895841","37.664518"
"44",배드민턴장,박제궁배드민턴장(야외),체육정책과,"126.833409","37.667594"
"45",배드민턴장,장항1동 배드민턴장(야외),고양도시관리공사,"126.765909","37.636885"
"46",테니스장,성사시립테니스장,체육정책과,"126.844008","37.661724"
"47",테니스장,토당테니스장,고양시테니스협회,"126.828543","37.625261"
"48",테니스장,충장테니스장,고양시테니스협회,"126.825775","37.613989"
"49",테니스장,대화레포츠공원 테니스장,고양시테니스협회,"126.737255","37.670424"
"50",테니스장,중산테니스장,고양시테니스협회,"126.778620","37.691654"
"51",테니스장,별빛 근린공원테니스장,고양시테니스협회,"126.825506","37.632547"
"52",테니스장,성라테니스장,고양시테니스협회,"126.847479","37.649027"
"53",테니스장,성저테니스장,,"126.741830","37.681429"
"54",게이트볼장,지영동체육공원게이트볼장,고양도시관리공사,"126.834784","37.723911"
"55",게이트볼장,원당고가하부게이트볼장,고양도시관리공사,"126.825417","37.663370"
"56",게이트볼장,행신동게이트볼장,체육정책과,"126.843537","37.613128"
"57",게이트볼장,선유동게이트볼장,고양도시관리공사,"126.910753","37.674911"
"58",게이트볼장,성사다목적체육관(실내),고양도시관리공사,"126.843466","37.662296"
"59",게이트볼장,벽제동게이트볼장,고양도시관리공사,"126.900188","37.711718"
"60",게이트볼장,장산i.c 게이트볼장,고양도시관리공사,"126.707603","37.683455"
"61",게이트볼장,행주IC체육시설게이트볼장,고양도시관리공사,"126.821666","37.605208"
"62",게이트볼장,현천동체육시설(게이트볼장),고양도시관리공사,"126.867146","37.594147"
"63",파크골프장,성저파크골프장,고양도시관리공사,"126.741830","37.681429"
"64",파크골프장,정발산배수지파크골프장,고양시파크골프협회,"126.779797","37.666141"
"65",족구장,지영동체육공원,고양도시관리공사,"126.834784","37.723911"
"66",족구장,화정배수지족구장,고양시족구협회,"126.843390","37.629912"
"67",족구장,성사체육공원족구장,체육정책과,"126.843466","37.662296"
"68",족구장,대화(대화천복개)족구장,고양도시관리공사,"126.739689","37.675279"
"69",족구장,내곡(대장동)족구장,고양도시관리공사,"126.805422","37.641563"
"70",족구장,선유동족구장,고양도시관리공사,"126.910753","37.674911"
"71",족구장,행주ic족구장,,"126.822747","37.604894"
"72",족구장,장산ic체육시설 족구장,고양도시관리공사,"126.707603","37.683455"
"73",족구장,일산배수지 족구장,고양도시관리공사,"126.782112","37.698556"
"74",족구장,효자동족구장,고양도시관리공사,"126.937969","37.653516"
"75",족구장,장항1동 다목적체육시설족구장,고양도시관리공사,"126.765909","37.636885"
"76",족구장,현천동체육시설(족구장),고양도시관리공사,"126.867146","37.594147"
"77",족구장,관산동건전체육공원,고양도시관리공사,"126.880804","37.685433"
"78",인라인하키,신일산배수지인라인하키,고양도시관리공사,"126.783949","37.699242"
"79",인라인스케이트장,풍동인라인스케이트,고양도시관리공사,"126.793509","37.661417"
"80",야구장,고양국가대표야구훈련장,고양도시관리공사,"126.741830","37.681429"
"81",야구장,킨텍스 야구장,고양도시관리공사,"126.738856","37.649456"
"82",야구장,대덕야구장,고양도시관리공사,"126.856932","37.579353"
"83",야구장,대화동 실내야구연습장,고양도시관리공사,"126.741830","37.681429"
"84",야구장,대장천 실내야구연습장,고양시야구소프트볼협회,"126.803570","37.624920"
"85",인공암벽장,고양인공암벽등반장,고양도시관리공사,"126.740872","37.679706"
"86",농구장,고양체육관,고양도시관리공사,"126.742594","37.675787"
"87",농구장,어울림누리(몸과마음 닦음터),고양도시관리공사,"126.834639","37.649847"
"88",농구장,문예회관체육관,고양도시관리공사,"126.832537","37.658142"
"89",농구장,고양국민체육센터,고양도시관리공사,"126.843466","37.662296"
"90",농구장,선유동 체육시설농구장,고양도시관리공사,"126.910753","37.674911"
"91",농구장,행주IC농구장,고양도시관리공사,"126.821666","37.605208"
"92",궁도장,지영동국궁장,고양도시관리공사,"126.834784","37.723911"
"93",탁구장,장미란체육관 탁구장,고양도시관리공사,"126.840205","37.629286"
"94",탁구장,식사다목적체육관,배드민턴협회,"126.811666","37.685586"
"95",스쿼시,장미란체육관 탁구장,고양도시관리공사,"126.840628","37.629056"
"96",스쿼시,고양체육관,고양도시관리공사,"126.742594","37.675787"
"97",골프연습장,고양체육관,고양도시관리공사,"126.742594","37.675787"
"98",헬스장,고양체육관,고양도시관리공사,"126.742594","37.675787"
"99",헬스장,고양국민체육센터,고양도시관리공사,"126.843466","37.662296"
"100",헬스장,어울림누리,고양도시관리공사,"126.834639","37.649847"
"101",클라이밍,어울림누리,고양도시관리공사,"126.834639","37.649847"
"102",다목적운동장,다목적운동장,고양시,"126.844088","37.614818"
"103",야외배드민턴장,야외배드민턴장,고양시,"126.842073","37.624989"
"104",다목적운동장,다목적운동장,고양시,"126.900226","37.705330"
"105",다목적운동장,다목적운동장,고양시,"126.830672","37.641221"
"106",풋살구장,풋살구장,고양시,"126.831083","37.645343"
"107",국궁장,국궁장,고양시,"126.832979","37.661769"
"108",풋살구장,풋살구장,고양시,"126.832979","37.661769"
"109",농구장,농구장,고양시,"126.832979","37.661769"
"110",게이트볼장,게이트볼장,고양시,"126.832979","37.661769"
"111",농구장,농구장,고양시,"126.835242","37.627895"
"112",야외배드민턴장,야외배드민턴장,고양시,"126.829907","37.616264"
"113",게이트볼장,게이트볼장,고양시,"126.825506","37.632547"
"114",풋살구장,풋살구장,고양시,"126.850876","37.619056"
"115",게이트볼장,게이트볼장,고양시,"126.850876","37.619056"
"116",인라인스케이트장,인라인스케이트장,고양시,"126.850876","37.619056"
"117",다목적운동장,다목적운동장,고양시,"126.834639","37.649847"
"118",족구장,족구장,고양시,"126.843466","37.662296"
"119",다목적운동장,다목적운동장,고양시,"126.836225","37.633140"
"120",풋살구장,풋살구장,고양시,"126.837461","37.639621"
"121",야외배드민턴장,야외배드민턴장,고양시,"126.828543","37.625261"
"122",게이트볼장,게이트볼장,고양시,"126.828543","37.625261"
"123",다목적운동장,다목적운동장,고양시,"126.836524","37.616140"
"124",게이트볼장,게이트볼장,고양시,"126.831294","37.607989"
"125",족구장,족구장,고양시,"126.831294","37.607989"
"126",풋살구장,풋살구장,고양시,"126.831294","37.607989"
"127",농구장,농구장,고양시,"126.836668","37.619277"
"128",농구장,농구장,고양시,"126.837953","37.644428"
"129",파크골프장,밥할머니공원,고양시,"126.899765","37.647499"
"130",풋살구장,동산꽃맞이공원,고양시,"126.888581","37.645204"
"131",게이트볼장,동산꽃맞이공원,고양시,"126.888581","37.645204"
"132",야외배드민턴장,동산꽃맞이공원,고양시,"126.888581","37.645204"
"133",농구장,동산꽃맞이공원,고양시,"126.888581","37.645204"
"134",인라인스케이트장,동산꽃맞이공원,고양시,"126.888581","37.645204"
"135",농구장,도래움바람물공원,고양시,"126.874348","37.627932"
"136",야외배드민턴장,도래움바람물공원,고양시,"126.874348","37.627932"
"137",풋살구장,향동체육공원,고양시,"126.888177","37.596248"
"138",농구장,향동체육공원,고양시,"126.888177","37.596248"
"139",게이트볼장,향동체육공원,고양시,"126.888177","37.596248"
"140",야외배드민턴장,향동체육공원,고양시,"126.888177","37.596248"
"141",실내배드민턴장,덕수공원,고양시,"126.879261","37.645549"
"142",게이트볼장,세솔공원,고양시,"126.887063","37.648974"
"143",실내배드민턴장,한우물숲길공원,고양시,"126.888153","37.659410"
"144",풋살구장,성아공원풋살장,고양시,"126.789313","37.678304"
"145",게이트볼장,중산전천후게이트볼장,고양시,"126.778620","37.691654"
"146",다목적운동장,강선공원,고양시,"126.763101","37.672995"
"147",다목적운동장,성저공원,고양시,"126.755366","37.681428"
"148",게이트볼장,대화레포츠공원,고양시,"126.737255","37.670424"
"149",농구장,대화레포츠공원,고양시,"126.737255","37.670424"
"150",X게임장,대화레포츠공원,고양시,"126.737255","37.670424"
"151",게이트볼장,고양시민피크닉공원,고양시,"126.750378","37.685421"
"152",족구장,고양시민피크닉공원,고양시,"126.750378","37.685421"
"153",풋살구장,킨텍스체육공원,고양시,"126.735298","37.664132"
"154",농구장,킨텍스체육공원,고양시,"126.735298","37.664132"
"155",족구장,송포공원,고양시,"126.730127","37.670302"
"156",게이트볼장,가좌공원,고양시,"126.721612","37.686969"
"157",족구장,탄현공원,고양시,"126.769948","37.700421"
"158",다목적운동장,숯고개공원,고양시,"126.765396","37.690453"
"159",풋살구장,덕이공원,고양시,"126.754423","37.701871"
"160",농구장,덕이공원,고양시,"126.754423","37.701871"
"161",족구장,덕이공원,고양시,"126.754423","37.701871"
"162",농구장,일산호수공원 농구장,고양시,"126.763522","37.657899"
"163",농구장,일산호수공원 청평지 농구장,고양시,"126.772689","37.646939"
"164",게이트볼장,일산호수공원 게이트볼장,고양시,"126.763522","37.657899"
"165",게이트볼장,일산호수공원 청평지 게이트볼장,고양시,"126.772689","37.646939"
"166",풋살구장,고양환경에너지시설 풋살장,고양도시관리공사,"126.796303","37.642803"
"167",게이트볼장,고양환경에너지시설 게이트볼장,고양도시관리공사,"126.796303","37.642803"
"168",농구장,고양환경에너지시설 농구장,고양도시관리공사,"126.796303","37.642803"
"169",테니스장,고양환경에너지시설 테니스장,고양도시관리공사,"126.796303","37.642803"
"170",수영장,고양백석체육센터 수영장,고양도시관리공사,"126.796418","37.641976"
"171",골프,고양백석체육센터 실내골프장,고양도시관리공사,"126.796418","37.641976"
"172",헬스장,고양백석체육센터 헬스장,고양도시관리공사,"126.796418","37.641976"
"173",다목적시설,고양백석체육센터 GX장,고양도시관리공사,"126.796418","37.641976"
"174",축구장,원능하수처리장축구장,원능스질복원센터,"126.794780","37.624858"
"175",축구장,창릉동운동장,덕양구 산업위생과,"126.893888","37.641831"
"176",게이트볼장,일산3동 게이트볼장,일산서구 산업위생과,"126.763313","37.680025"
"177",게이트볼장,일산2동 게이트볼장,일산서구 산업위생과,"126.776793","37.682733"
