호선명,역명,행정구역,년월구분,승하차구분,월요일_합계,화요일_합계,수요일_합계,목요일_합계,금요일_합계,토요일_합계,일요일_합계,모든요일_합계,월요일_평균,화요일_평균,수요일_평균,목요일_평균,금요일_평균,토요일_평균,일요일_평균,모든요일_평균
3호선,지축,___효자동(경기고양덕양),연간합계,승차,73291,73511,73687,74677,62626,44084,74138,476014,1409,1414,1417,1436,1204,848,1399,1304
3호선,지축,___효자동(경기고양덕양),연간합계,하차,82890,82307,84042,84923,68679,49259,84346,536446,1594,1583,1616,1633,1321,947,1591,1470
3호선,지축,___효자동(경기고양덕양),연간합계,총승하차,156181,155818,157729,159600,131305,93343,158484,1012460,3003,2997,3033,3069,2525,1795,2990,2774
경의선,화전,___화전동(경기고양덕양),연간합계,승차,,,,,,,,928786,,,,,,,,0
경의선,화전,___화전동(경기고양덕양),연간합계,하차,,,,,,,,870375,,,,,,,,0
경의선,화전,___화전동(경기고양덕양),연간합계,총승하차,,,,,,,,1799161,,,,,,,,0
경의선,강매,___행신2동(경기고양덕양),연간합계,승차,,,,,,,,993149,,,,,,,,0
경의선,강매,___행신2동(경기고양덕양),연간합계,하차,,,,,,,,866571,,,,,,,,0
경의선,강매,___행신2동(경기고양덕양),연간합계,총승하차,,,,,,,,1859720,,,,,,,,0
경의선,행신,___행신2동(경기고양덕양),연간합계,승차,,,,,,,,2843071,,,,,,,,0
경의선,행신,___행신2동(경기고양덕양),연간합계,하차,,,,,,,,2725061,,,,,,,,0
경의선,행신,___행신2동(경기고양덕양),연간합계,총승하차,,,,,,,,5568132,,,,,,,,0
경의선,능곡,___능곡동(경기고양덕양),연간합계,승차,,,,,,,,1372493,,,,,,,,0
경의선,능곡,___능곡동(경기고양덕양),연간합계,하차,,,,,,,,1265362,,,,,,,,0
경의선,능곡,___능곡동(경기고양덕양),연간합계,총승하차,,,,,,,,2637855,,,,,,,,0
경의선,곡산,___풍산동(경기고양일산동),연간합계,승차,,,,,,,,202878,,,,,,,,0
경의선,곡산,___풍산동(경기고양일산동),연간합계,하차,,,,,,,,201535,,,,,,,,0
경의선,곡산,___풍산동(경기고양일산동),연간합계,총승하차,,,,,,,,404413,,,,,,,,0
경의선,백마,___풍산동(경기고양일산동),연간합계,승차,,,,,,,,2450784,,,,,,,,0
경의선,백마,___풍산동(경기고양일산동),연간합계,하차,,,,,,,,2283058,,,,,,,,0
경의선,백마,___풍산동(경기고양일산동),연간합계,총승하차,,,,,,,,4733842,,,,,,,,0
경의선,풍산,___풍산동(경기고양일산동),연간합계,승차,,,,,,,,1848304,,,,,,,,0
경의선,풍산,___풍산동(경기고양일산동),연간합계,하차,,,,,,,,1728742,,,,,,,,0
경의선,풍산,___풍산동(경기고양일산동),연간합계,총승하차,,,,,,,,3577046,,,,,,,,0
경의선,일산,___일산2동(경기고양일산서),연간합계,승차,,,,,,,,3430691,,,,,,,,0
경의선,일산,___일산2동(경기고양일산서),연간합계,하차,,,,,,,,3377383,,,,,,,,0
경의선,일산,___일산2동(경기고양일산서),연간합계,총승하차,,,,,,,,6808074,,,,,,,,0
경의선,탄현,___송산동(경기고양일산서),연간합계,승차,,,,,,,,2729679,,,,,,,,0
경의선,탄현,___송산동(경기고양일산서),연간합계,하차,,,,,,,,2626648,,,,,,,,0
경의선,탄현,___송산동(경기고양일산서),연간합계,총승하차,,,,,,,,5356327,,,,,,,,0
경원선,원흥,___흥도동(경기고양덕양),연간합계,승차,,,,,,,,3036522,,,,,,,,0
경원선,원흥,___흥도동(경기고양덕양),연간합계,하차,,,,,,,,2720898,,,,,,,,0
경원선,원흥,___흥도동(경기고양덕양),연간합계,총승하차,,,,,,,,5757420,,,,,,,,0
일산선,지축,___효자동(경기고양덕양),연간합계,승차,,,,,,,,85110,,,,,,,,0
일산선,지축,___효자동(경기고양덕양),연간합계,하차,,,,,,,,85268,,,,,,,,0
일산선,지축,___효자동(경기고양덕양),연간합계,총승하차,,,,,,,,170378,,,,,,,,0
일산선,삼송,___신도동(경기고양덕양),연간합계,승차,,,,,,,,5876753,,,,,,,,0
일산선,삼송,___신도동(경기고양덕양),연간합계,하차,,,,,,,,5649572,,,,,,,,0
일산선,삼송,___신도동(경기고양덕양),연간합계,총승하차,,,,,,,,11526325,,,,,,,,0
일산선,원당,___성사1동(경기고양덕양),연간합계,승차,,,,,,,,4393260,,,,,,,,0
일산선,원당,___성사1동(경기고양덕양),연간합계,하차,,,,,,,,4214589,,,,,,,,0
일산선,원당,___성사1동(경기고양덕양),연간합계,총승하차,,,,,,,,8607849,,,,,,,,0
일산선,화정,___화정1동(경기고양덕양),연간합계,승차,,,,,,,,7098383,,,,,,,,0
일산선,화정,___화정1동(경기고양덕양),연간합계,하차,,,,,,,,7423722,,,,,,,,0
일산선,화정,___화정1동(경기고양덕양),연간합계,총승하차,,,,,,,,14522105,,,,,,,,0
일산선,대곡,___운중동(경기성남분당),연간합계,승차,,,,,,,,619157,,,,,,,,0
일산선,대곡,___운중동(경기성남분당),연간합계,하차,,,,,,,,475595,,,,,,,,0
일산선,대곡,___운중동(경기성남분당),연간합계,총승하차,,,,,,,,1094752,,,,,,,,0
일산선,백석,___백석1동(경기고양일산동),연간합계,승차,,,,,,,,4271531,,,,,,,,0
일산선,백석,___백석1동(경기고양일산동),연간합계,하차,,,,,,,,4261695,,,,,,,,0
일산선,백석,___백석1동(경기고양일산동),연간합계,총승하차,,,,,,,,8533226,,,,,,,,0
일산선,마두,___마두2동(경기고양일산동),연간합계,승차,,,,,,,,3054218,,,,,,,,0
일산선,마두,___마두2동(경기고양일산동),연간합계,하차,,,,,,,,3167961,,,,,,,,0
일산선,마두,___마두2동(경기고양일산동),연간합계,총승하차,,,,,,,,6222179,,,,,,,,0
일산선,정발산,___마두1동(경기고양일산동),연간합계,승차,,,,,,,,3316374,,,,,,,,0
일산선,정발산,___마두1동(경기고양일산동),연간합계,하차,,,,,,,,3527251,,,,,,,,0
일산선,정발산,___마두1동(경기고양일산동),연간합계,총승하차,,,,,,,,6843625,,,,,,,,0
일산선,주엽,___주엽1동(경기고양일산서),연간합계,승차,,,,,,,,3560347,,,,,,,,0
일산선,주엽,___주엽1동(경기고양일산서),연간합계,하차,,,,,,,,3674119,,,,,,,,0
일산선,주엽,___주엽1동(경기고양일산서),연간합계,총승하차,,,,,,,,7234466,,,,,,,,0
일산선,대화,___대화동(경기고양일산서),연간합계,승차,,,,,,,,5547363,,,,,,,,0
일산선,대화,___대화동(경기고양일산서),연간합계,하차,,,,,,,,4460662,,,,,,,,0
일산선,대화,___대화동(경기고양일산서),연간합계,총승하차,,,,,,,,10008025,,,,,,,,0
